Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend,volume scaled,sma_21,sma_34,MA,roll_CP_std,UP_band,LO_band,buy,sell,MA_std
2017-06-13,21,JUBLFOOD,EQ,959.55,961.15,973.0,953.0,970.7,970.05,965.68,421456,406990193.8,9885,51514,12.22,6,2017,1.0942629357511224,Positive,0.031976773718363875,973.8561904761905,,951.5321428571427,30.472141168001755,1012.4764251931463,890.5878605211392,,,30.472141168001755
2017-06-14,22,JUBLFOOD,EQ,970.05,962.0,968.0,952.0,968.0,962.6,959.06,324857,311556021.7,11365,21369,6.58,6,2017,-0.7680016493995079,Slight Negative,0.021754267887453917,969.8942857142858,,947.7928571428571,24.7698471870603,997.3325515169777,898.2531627687365,,,24.7698471870603
2017-06-15,23,JUBLFOOD,EQ,962.6,959.95,964.9,953.0,959.0,959.25,958.04,231706,221983581.5,9126,32167,13.88,6,2017,-0.3480157905672132,Slight or No Change,0.011896643681664062,965.9947619047621,,945.4035714285712,21.502741008511205,988.4090534455936,902.3980894115489,,,21.502741008511205
2017-06-16,24,JUBLFOOD,EQ,959.25,963.0,968.75,925.4,943.0,938.2,945.96,496384,469558754.8,13784,86728,17.47,6,2017,-2.194422726088085,Negative,0.039905964671670034,961.8119047619049,,945.2499999999999,21.549237002376767,988.3484740047534,902.1515259952464,,,21.549237002376767
2017-06-19,25,JUBLFOOD,EQ,938.2,940.1,944.95,918.6,923.5,924.65,927.95,656933,609603939.9,19540,236955,36.07,6,2017,-1.4442549562993068,Negative,0.056895924077531,957.1790476190478,,946.3571428571428,19.885816912706982,986.1287766825567,906.5855090317289,,,19.885816912706982
2017-06-20,26,JUBLFOOD,EQ,924.65,923.5,930.45,920.0,925.0,924.0,924.82,291920,269972745.5,6213,73743,25.26,6,2017,-0.0702968690855954,Slight or No Change,0.018268738279976805,952.3323809523811,,947.0071428571428,18.90292872244148,984.8130003020257,909.2012854122598,,,18.90292872244148
2017-06-21,27,JUBLFOOD,EQ,924.0,923.0,938.1,914.75,927.05,926.2,927.72,460579,427287294.3,13193,72380,15.72,6,2017,0.23809523809523725,Slight or No Change,0.03611693143865798,948.4409523809527,,948.0035714285714,17.222854497235808,982.449280423043,913.5578624340998,,,17.222854497235808
2017-06-22,28,JUBLFOOD,EQ,926.2,929.9,929.9,909.6,914.0,913.25,918.56,363307,333719330.1,11738,51771,14.25,6,2017,-1.3981861369034787,Negative,0.025823205963401784,945.1285714285718,,946.7464285714285,19.110181179812592,984.9667909310537,908.5260662118034,,,19.110181179812592
2017-06-23,29,JUBLFOOD,EQ,913.25,914.0,934.5,901.5,917.0,922.95,920.6,576549,530769176.8,17602,147377,25.56,6,2017,1.0621407062688215,Positive,0.048389356631575384,941.4385714285718,,945.8107142857143,19.97534228619219,985.7613988580987,905.8600297133299,,,19.97534228619219
2017-06-27,30,JUBLFOOD,EQ,922.95,918.0,934.5,918.0,929.0,929.0,927.94,472073,438055571.1,14515,200907,42.56,6,2017,0.6555067988515129,Slight Positive,0.0373332740718165,937.3785714285716,,944.1285714285715,20.352194308889672,984.8329600463509,903.4241828107921,,,20.352194308889672
2017-06-28,31,JUBLFOOD,EQ,929.0,921.05,942.0,915.05,942.0,938.0,934.35,316313,295547578.5,8600,67830,21.44,6,2017,0.9687836383207804,Slight Positive,0.020850106459082043,936.2552380952383,,942.9,20.150596479050595,983.2011929581012,902.5988070418988,,,20.150596479050595
2017-06-29,32,JUBLFOOD,EQ,938.0,946.55,957.6,936.95,951.0,952.1,948.97,517249,490855347.6,15897,118293,22.87,6,2017,1.50319829424308,Positive,0.04211398529467789,939.7166666666669,,942.0642857142858,19.44747787257729,980.9592414594404,903.1693299691312,,,19.44747787257729
