Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
JUBLFOOD,EQ,30-Aug-17,1344.85,1360,1397.75,1355,1370,1366.05,1374.25,1157869,1591204096,45994,278466,24.05
JUBLFOOD,EQ,31-Aug-17,1366.05,1379.75,1405,1356.35,1403.15,1394.5,1378.99,765404,1055482626,20533,171762,22.44
JUBLFOOD,EQ,01-Sep-17,1394.5,1395.35,1425,1395.05,1400,1403.1,1410.77,749515,1057393421,21662,116192,15.5
JUBLFOOD,EQ,04-Sep-17,1403.1,1397.3,1398,1365.05,1380.85,1379.9,1381.31,562943,777598606.9,22947,83647,14.86
JUBLFOOD,EQ,05-Sep-17,1379.9,1395,1397.85,1370.1,1382,1378.85,1382.96,437298,604764277.3,12633,38842,8.88
JUBLFOOD,EQ,06-Sep-17,1378.85,1380,1405,1370.05,1393,1391.3,1390.73,592148,823518859,21284,69440,11.73
JUBLFOOD,EQ,07-Sep-17,1391.3,1392.1,1407.4,1384.15,1390.1,1389,1394.46,361510,504111959.5,10434,53221,14.72
JUBLFOOD,EQ,08-Sep-17,1389,1398.1,1404,1377.25,1387,1384.5,1389.34,468209,650501705.5,12788,62229,13.29
JUBLFOOD,EQ,11-Sep-17,1384.5,1394,1464,1385,1463.6,1452,1423.85,1423607,2027002501,43292,195373,13.72
JUBLFOOD,EQ,12-Sep-17,1452,1470.95,1475.45,1420.05,1424.85,1424.8,1439.32,1593399,2293412221,41542,368060,23.1
JUBLFOOD,EQ,13-Sep-17,1424.8,1420,1421,1305.05,1338,1323.35,1358.03,2391392,3247588930,70371,405954,16.98
JUBLFOOD,EQ,14-Sep-17,1323.35,1355.1,1383.9,1342.65,1377.2,1373.45,1366.86,3000789,4101644742,87027,323551,10.78
JUBLFOOD,EQ,15-Sep-17,1373.45,1351.1,1370,1345.6,1359.35,1359.15,1357.44,709529,963142810.7,27958,100372,14.15
JUBLFOOD,EQ,18-Sep-17,1359.15,1384,1427.7,1367.2,1423.15,1423.2,1402.82,1417565,1988583823,44245,300821,21.22
JUBLFOOD,EQ,19-Sep-17,1423.2,1428,1435,1378.3,1400.05,1396.05,1407.76,1099926,1548436103,33612,113093,10.28
