,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,year,Day_Perc_Change,Trend
337,JUBLFOOD,EQ,2018-09-19,1387.35,1395.75,1402.3,1321.0,1332.0,1332.2,1348.2,1423873,1919671177.0,55224,386696,27.16,9,2018,-3.9752045266154834,Among top Losers
338,JUBLFOOD,EQ,2018-09-21,1332.2,1350.0,1353.0,1132.4,1299.5,1303.7,1292.25,2513560,3248154965.0,85741,575844,22.91,9,2018,-2.1393184206575544,Negative
339,JUBLFOOD,EQ,2018-09-24,1303.7,1302.0,1343.2,1260.1,1267.0,1274.1,1293.0,799885,1034249134.0,35198,160777,20.1,9,2018,-2.270460995627843,Negative
340,JUBLFOOD,EQ,2018-09-25,1274.1,1264.0,1296.5,1245.0,1257.0,1260.05,1271.37,882793,1122358084.0,31645,117037,13.26,9,2018,-1.1027391884467441,Negative
341,JUBLFOOD,EQ,2018-09-26,1260.05,1269.5,1306.4,1262.65,1286.1,1292.0,1292.39,1222852,1580399683.0,47337,390691,31.95,9,2018,2.535613666124359,Positive
342,JUBLFOOD,EQ,2018-09-27,1292.0,1293.9,1314.9,1233.15,1239.0,1238.95,1268.42,1737643,2204068476.0,54556,522969,30.1,9,2018,-4.106037151702779,Among top Losers
343,JUBLFOOD,EQ,2018-09-28,1238.95,1248.8,1274.0,1180.0,1241.8,1229.75,1234.49,2087782,2577347389.0,70738,631206,30.23,9,2018,-0.7425642681302747,Slight Negative
344,JUBLFOOD,EQ,2018-10-01,1229.75,1240.0,1258.0,1205.0,1247.0,1240.75,1231.22,1128958,1389999255.0,34914,153213,13.57,10,2018,0.8944907501524657,Slight Positive
345,JUBLFOOD,EQ,2018-10-03,1240.75,1241.0,1241.0,1180.1,1187.0,1192.1,1210.23,1286107,1556484092.0,47741,348771,27.12,10,2018,-3.9210155148096004,Among top Losers
346,JUBLFOOD,EQ,2018-10-04,1192.1,1162.0,1184.55,1104.0,1119.95,1125.7,1139.61,2071441,2360634668.0,79838,551083,26.6,10,2018,-5.570002516567396,Among top Losers
347,JUBLFOOD,EQ,2018-10-05,1125.7,1117.2,1174.85,1080.4,1148.0,1152.05,1140.11,1956290,2230384115.0,63909,360071,18.41,10,2018,2.3407657457581887,Positive
348,JUBLFOOD,EQ,2018-10-08,1152.05,1156.0,1193.95,1119.2,1178.0,1183.15,1157.97,1407408,1629741538.0,46106,303233,21.55,10,2018,2.69953561043359,Positive
349,JUBLFOOD,EQ,2018-10-09,1183.15,1187.0,1193.8,1141.0,1150.0,1153.4,1161.87,1277204,1483943515.0,44785,253478,19.85,10,2018,-2.514474073448003,Negative
350,JUBLFOOD,EQ,2018-10-10,1153.4,1153.4,1204.9,1153.4,1193.0,1190.9,1189.13,1276596,1518040889.0,40629,392382,30.74,10,2018,3.2512571527657297,Among Top gainers
351,JUBLFOOD,EQ,2018-10-11,1190.9,1154.95,1194.0,1120.8,1135.15,1144.8,1156.22,1314444,1519780536.0,40463,329709,25.08,10,2018,-3.8710219161978476,Among top Losers
352,JUBLFOOD,EQ,2018-10-12,1144.8,1151.4,1195.4,1150.0,1188.1,1187.3,1182.37,1014080,1199014066.0,36059,216128,21.31,10,2018,3.7124388539482966,Among Top gainers
353,JUBLFOOD,EQ,2018-10-15,1187.3,1188.15,1194.4,1156.0,1175.4,1176.0,1176.09,788857,927764241.0,25620,204183,25.88,10,2018,-0.9517392402931035,Slight Negative
354,JUBLFOOD,EQ,2018-10-16,1176.0,1187.0,1239.0,1181.5,1220.0,1217.9,1221.19,1767581,2158558531.0,64269,230240,13.03,10,2018,3.562925170068043,Among Top gainers
355,JUBLFOOD,EQ,2018-10-17,1217.9,1235.0,1264.0,1195.6,1206.85,1208.0,1229.0,1453993,1786954336.0,44274,480905,33.07,10,2018,-0.812874620247972,Slight Negative
356,JUBLFOOD,EQ,2018-10-19,1208.0,1198.0,1275.0,1192.15,1275.0,1268.3,1246.69,1789306,2230715015.0,64232,481494,26.91,10,2018,4.991721854304632,Among Top gainers
357,JUBLFOOD,EQ,2018-10-22,1268.3,1284.9,1293.6,1230.0,1240.0,1234.6,1262.08,1289684,1627681859.0,58231,153559,11.91,10,2018,-2.6571000551919965,Negative
358,JUBLFOOD,EQ,2018-10-23,1234.6,1224.6,1247.5,1171.0,1201.0,1198.9,1205.74,1638747,1975907221.0,48724,366697,22.38,10,2018,-2.8916248177547232,Negative
359,JUBLFOOD,EQ,2018-10-24,1198.9,1210.1,1250.0,1167.0,1192.85,1193.45,1211.35,4559062,5522600990.0,139615,544641,11.95,10,2018,-0.4545833680874134,Slight or No Change
360,JUBLFOOD,EQ,2018-10-25,1193.45,1164.05,1166.8,1065.2,1074.1,1074.1,1101.59,5604538,6173916149.0,163612,1187902,21.2,10,2018,-10.000418953454282,Bear Drop
361,JUBLFOOD,EQ,2018-10-26,1074.1,1070.0,1081.5,977.0,1050.0,1055.55,1038.65,4265919,4430800638.0,162445,747840,17.53,10,2018,-1.7270272786518936,Negative
362,JUBLFOOD,EQ,2018-10-29,1055.55,1065.0,1105.0,1047.1,1090.5,1093.45,1085.07,1813832,1968137492.0,51401,332788,18.35,10,2018,3.5905452133958793,Among Top gainers
363,JUBLFOOD,EQ,2018-10-30,1093.45,1090.0,1096.4,1050.0,1061.9,1065.05,1068.47,1848454,1975018059.0,58552,451949,24.45,10,2018,-2.5972838264209708,Negative
364,JUBLFOOD,EQ,2018-10-31,1065.05,1070.0,1089.0,1012.45,1081.45,1083.5,1045.15,3360642,3512370439.0,104957,918262,27.32,10,2018,1.732313036946631,Positive
365,JUBLFOOD,EQ,2018-11-01,1083.5,1089.95,1144.5,1074.2,1107.8,1104.45,1113.12,3497318,3892948983.0,95889,1017999,29.11,11,2018,1.9335486848177208,Positive
366,JUBLFOOD,EQ,2018-11-02,1104.45,1115.0,1143.3,1060.1,1083.5,1080.1,1105.34,2319126,2563426632.0,74600,565348,24.38,11,2018,-2.2047172800941817,Negative
367,JUBLFOOD,EQ,2018-11-05,1080.1,1084.8,1084.95,1045.0,1054.1,1052.1,1058.0,1654893,1750875292.0,57154,476193,28.77,11,2018,-2.5923525599481523,Negative
368,JUBLFOOD,EQ,2018-11-06,1052.1,1059.7,1078.45,1036.65,1044.0,1043.3,1055.08,1482310,1563961520.0,44073,417394,28.16,11,2018,-0.8364223933086112,Slight Negative
369,JUBLFOOD,EQ,2018-11-07,1043.3,1060.0,1062.7,1044.0,1051.0,1047.8,1048.67,187976,197125124.0,6381,40979,21.8,11,2018,0.4313236844627699,Slight or No Change
370,JUBLFOOD,EQ,2018-11-09,1047.8,1054.7,1093.4,1047.5,1088.75,1089.35,1077.03,1974434,2126532976.0,73112,562118,28.47,11,2018,3.965451422027111,Among Top gainers
371,JUBLFOOD,EQ,2018-11-12,1089.35,1092.35,1111.0,1077.0,1103.0,1100.95,1094.49,1564161,1711964060.0,44668,251044,16.05,11,2018,1.0648551888741142,Positive
